,year,region,total_of_accidents,total_of_dead,total_of_injured,driving_licese,latitude,longitude
46,1996,Madinah,,,,3425,24.927534539,39.4918237173
47,1996,Makkah,,,,46195,21.628962766,41.2636898334
48,1996,Najran,,,,3274,18.4511003068,46.8688495726
49,1996,Northern Boarder,,,,1383,30.197074783,41.8171186952
50,1996,Riyadh,,,,110131,23.0814341634,45.5857512766
51,1996,Tabouk,,,,2263,27.90165499,37.2598581394
52,1997,Al-Baha,,,,3027,20.1484058503,41.4665484892
53,1997,Al-Jouf,,,,3565,29.9677445762,39.5570371172
54,1997,Al-Qaseem,,,,10092,26.1967063704,43.3429998455
55,1997,Assir,,,,12204,19.1387847401,42.941470036
56,1997,Eastern,,,,58814,23.2883307307,50.1478302439
57,1997,Hail,,,,6606,27.400845724,41.4406960508
58,1997,Jazan,,,,5695,17.2072313962,42.6525807422
59,1997,Madinah,,,,10495,24.927534539,39.4918237173
60,1997,Makkah,,,,76623,21.628962766,41.2636898334
61,1997,Najran,,,,3073,18.4511003068,46.8688495726
62,1997,Northern Boarder,,,,1531,30.197074783,41.8171186952
63,1997,Riyadh,,,,92145,23.0814341634,45.5857512766
64,1997,Tabouk,,,,5426,27.90165499,37.2598581394
65,1998,Al-Baha,,,,5110,20.1484058503,41.4665484892
66,1998,Al-Jouf,,,,3476,29.9677445762,39.5570371172
67,1998,Al-Qaseem,,,,11350,26.1967063704,43.3429998455
68,1998,Assir,,,,13220,19.1387847401,42.941470036
69,1998,Eastern,,,,70650,23.2883307307,50.1478302439
70,1998,Hail,,,,4708,27.400845724,41.4406960508
71,1998,Jazan,,,,2613,17.2072313962,42.6525807422
72,1998,Madinah,,,,13020,24.927534539,39.4918237173
73,1998,Makkah,,,,86082,21.628962766,41.2636898334
74,1998,Najran,,,,4322,18.4511003068,46.8688495726
75,1998,Northern Boarder,,,,2014,30.197074783,41.8171186952
76,1998,Riyadh,,,,114962,23.0814341634,45.5857512766
77,1998,Tabouk,,,,6823,27.90165499,37.2598581394
78,1999,Al-Baha,,,,4246,20.1484058503,41.4665484892
79,1999,Al-Jouf,,,,3950,29.9677445762,39.5570371172
80,1999,Al-Qaseem,,,,9983,26.1967063704,43.3429998455
81,1999,Assir,,,,14625,19.1387847401,42.941470036
82,1999,Eastern,,,,64973,23.2883307307,50.1478302439
83,1999,Hail,,,,3139,27.400845724,41.4406960508
84,1999,Jazan,,,,4792,17.2072313962,42.6525807422
85,1999,Madinah,,,,11108,24.927534539,39.4918237173
86,1999,Makkah,,,,103535,21.628962766,41.2636898334
87,1999,Najran,,,,3959,18.4511003068,46.8688495726
88,1999,Northern Boarder,,,,2311,30.197074783,41.8171186952
89,1999,Riyadh,,,,100291,23.0814341634,45.5857512766
90,1999,Tabouk,,,,5298,27.90165499,37.2598581394
91,2000,Al-Baha,,,,4832,20.1484058503,41.4665484892
92,2000,Al-Jouf,,,,4666,29.9677445762,39.5570371172
93,2000,Al-Qaseem,,,,12226,26.1967063704,43.3429998455
94,2000,Assir,,,,18622,19.1387847401,42.941470036
95,2000,Eastern,,,,65767,23.2883307307,50.1478302439
96,2000,Hail,,,,3215,27.400845724,41.4406960508
97,2000,Jazan,,,,5678,17.2072313962,42.6525807422
98,2000,Madinah,,,,9562,24.927534539,39.4918237173
99,2000,Makkah,,,,87053,21.628962766,41.2636898334
100,2000,Najran,,,,4905,18.4511003068,46.8688495726
101,2000,Northern Boarder,,,,2894,30.197074783,41.8171186952
102,2000,Riyadh,,,,45345,23.0814341634,45.5857512766
103,2000,Tabouk,,,,8473,27.90165499,37.2598581394
